date,state,State,Population,Negative PCR tests,Cases or Positive PCR tests,Cases Per 100000,Total PCR tests,PCR Per 100000,Positivity
20200527,NJ,New Jersey,8882190,503697,156628,1763,660325,7434,0.24
20200527,KY,Kentucky,4467673,173024,8924,200,181948,4073,0.05
20200527,NM,New Mexico,2096829,173516,7130,340,180646,8615,0.04
20200527,KS,Kansas,2913314,75151,,0,75151,2580,0
20200527,NV,Nevada,3080156,120446,8113,263,128559,4174,0.06
20200527,IN,Indiana,6732219,202896,,0,202896,3014,0
20200527,NY,New York,19453561,1446579,364965,1876,1811544,9312,0.2
20200527,IL,Illinois,12671821,689667,114306,902,803973,6345,0.14
20200527,OH,Ohio,11689100,316286,31191,267,347477,2973,0.09
20200527,ID,Idaho,1787065,40318,2458,138,42776,2394,0.06
20200527,OK,Oklahoma,3956971,172409,6229,157,178638,4515,0.03
20200527,IA,Iowa,3155070,121166,18360,582,139526,4422,0.13
20200527,OR,Oregon,4217737,112954,3947,94,116901,2772,0.03
20200527,HI,Hawaii,1415872,50559,,0,50559,3571,0
20200527,PA,Pennsylvania,12801989,349990,67515,527,417505,3261,0.16
20200527,GU,Guam,165768,5515,163,98,5678,3425,0.03
20200527,PR,Puerto Rico,3725789,40488,1260,34,41748,1121,0.03
20200527,GA,Georgia,10617423,396335,44421,418,440756,4151,0.1
20200527,RI,Rhode Island,1059361,93504,14498,1369,108002,10195,0.13
20200527,FL,Florida,21477737,880937,52634,245,933571,4347,0.06
20200527,SC,South Carolina,5148714,165060,10623,206,175683,3412,0.06
20200527,DE,Delaware,973764,46325,,0,46325,4757,0
20200527,SD,South Dakota,884659,33296,,0,33296,3764,0
20200527,DC,District of Columbia,705749,34291,,0,34291,4859,0
20200527,TN,Tennessee,6829174,388324,21306,312,409630,5998,0.05
